name,total_units_sold,total_revenue
Laundry Detergent 1kg,124,26189.34
Air Freshener,120,19396.45
Sugar 1kg,115,6399.87
A4 Paper Ream,103,33329.93
Hand Sanitizer 250ml,102,12547.0
Toor Dal 1kg,88,11543.71
Wireless Mouse,77,34972.52
LED Desk Lamp,75,49148.17
Ballpoint Pen (Pack of 10),66,4683.8099999999995
Basmati Rice 5kg,51,26455.95
Notebook (200 pages),48,2407.73
Power Bank 10000mAh,43,39105.62
Sticky Notes Pack,41,2458.49
Bluetooth Earphones,35,36104.08
Sunflower Oil 1L,29,4859.36
Tea Powder 500g,28,5900.89
Dish Soap 500ml,21,1980.02
USB-C Cable,14,2554.59
Stapler,13,1418.48
Toilet Paper (Pack of 4),7,977.56
