name,avg_sale_price,avg_cost_price,profit_margin_pct,total_units_sold,total_revenue,current_stock,turnover_rate,category
USB-C Cable,181.88,79.01,56.6,14,2554.59,23,0.61,Electronics
LED Desk Lamp,655.32,353.15,46.1,75,49148.17,51,1.47,Electronics
Power Bank 10000mAh,910.76,506.29,44.4,43,39105.62,48,0.9,Electronics
Stapler,109.45,61.19,44.1,13,1418.48,97,0.13,Stationery
Wireless Mouse,453.96,256.03,43.6,77,34972.52,34,2.26,Electronics
Ballpoint Pen (Pack of 10),70.97,40.38,43.1,66,4683.8099999999995,84,0.79,Stationery
Hand Sanitizer 250ml,122.75,71.51,41.7,102,12547.0,31,3.29,Household
Sticky Notes Pack,60.11,35.05,41.7,41,2458.49,23,1.78,Stationery
Bluetooth Earphones,1027.55,612.38,40.4,35,36104.08,55,0.64,Electronics
Notebook (200 pages),50.2,30.33,39.6,48,2407.73,49,0.98,Stationery
Dish Soap 500ml,94.93,58.98,37.9,21,1980.02,74,0.28,Household
Air Freshener,162.08,102.09,37.0,120,19396.45,47,2.55,Household
Toilet Paper (Pack of 4),140.16,90.83,35.2,7,977.56,24,0.29,Household
Laundry Detergent 1kg,210.78,139.83,33.7,124,26189.34,23,5.39,Household
A4 Paper Ream,323.88,216.36,33.2,103,33329.93,91,1.13,Stationery
Toor Dal 1kg,131.09,93.71,28.5,88,11543.71,89,0.99,Groceries
Sunflower Oil 1L,168.45,121.58,27.8,29,4859.36,33,0.88,Groceries
Tea Powder 500g,211.0,154.28,26.9,28,5900.89,31,0.9,Groceries
Sugar 1kg,55.58,41.12,26.0,115,6399.87,95,1.21,Groceries
Basmati Rice 5kg,520.29,402.58,22.6,51,26455.95,37,1.38,Groceries
