name,avg_sale_price,avg_cost_price,profit_margin_pct
USB-C Cable,181.88,79.01,56.6
LED Desk Lamp,655.32,353.15,46.1
Power Bank 10000mAh,910.76,506.29,44.4
Stapler,109.45,61.19,44.1
Wireless Mouse,453.96,256.03,43.6
Ballpoint Pen (Pack of 10),70.97,40.38,43.1
Hand Sanitizer 250ml,122.75,71.51,41.7
Sticky Notes Pack,60.11,35.05,41.7
Bluetooth Earphones,1027.55,612.38,40.4
Notebook (200 pages),50.2,30.33,39.6
Dish Soap 500ml,94.93,58.98,37.9
Air Freshener,162.08,102.09,37.0
Toilet Paper (Pack of 4),140.16,90.83,35.2
Laundry Detergent 1kg,210.78,139.83,33.7
A4 Paper Ream,323.88,216.36,33.2
Toor Dal 1kg,131.09,93.71,28.5
Sunflower Oil 1L,168.45,121.58,27.8
Tea Powder 500g,211.0,154.28,26.9
Sugar 1kg,55.58,41.12,26.0
Basmati Rice 5kg,520.29,402.58,22.6
