name,current_stock,total_units_sold
Toilet Paper (Pack of 4),24,7
Stapler,97,13
USB-C Cable,23,14
Dish Soap 500ml,74,21
Tea Powder 500g,31,28
Sunflower Oil 1L,33,29
Bluetooth Earphones,55,35
Sticky Notes Pack,23,41
Power Bank 10000mAh,48,43
Notebook (200 pages),49,48
Basmati Rice 5kg,37,51
Ballpoint Pen (Pack of 10),84,66
LED Desk Lamp,51,75
Wireless Mouse,34,77
Toor Dal 1kg,89,88
Hand Sanitizer 250ml,31,102
A4 Paper Ream,91,103
Sugar 1kg,95,115
Air Freshener,47,120
Laundry Detergent 1kg,23,124
