name,current_stock,total_units_sold,turnover_rate
Laundry Detergent 1kg,23,124,5.39
Hand Sanitizer 250ml,31,102,3.29
Air Freshener,47,120,2.55
Wireless Mouse,34,77,2.26
Sticky Notes Pack,23,41,1.78
LED Desk Lamp,51,75,1.47
Basmati Rice 5kg,37,51,1.38
Sugar 1kg,95,115,1.21
A4 Paper Ream,91,103,1.13
Toor Dal 1kg,89,88,0.99
Notebook (200 pages),49,48,0.98
Tea Powder 500g,31,28,0.9
Power Bank 10000mAh,48,43,0.9
Sunflower Oil 1L,33,29,0.88
Ballpoint Pen (Pack of 10),84,66,0.79
Bluetooth Earphones,55,35,0.64
USB-C Cable,23,14,0.61
Toilet Paper (Pack of 4),24,7,0.29
Dish Soap 500ml,74,21,0.28
Stapler,97,13,0.13
